HSBC,GB0005405286,21618123.27
BP,GB0007980591,129329.20
AstraZeneca,GB0009895292,116401.80
GlaxoSmithKline,GB0009252882,106864.43
Diageo,GB0002374006,95974.52
BAT,GB0002875804,79864.97
BHP Group,GB00BH0P3Z91,44123.14
Glencore,JE00B4T3BW64,40085.35
Compass Group,GB00BD6K4575,39558.49
Barclays,GB0031348658,37388.94
Anglo American,GB00B1XZS820,34037.54
CRH,IE0001827041,28241.12
Experian,GB00B19NLV48,26783.42
BT Group,GB0030913577,25850.96
Imperial Brands,GB0004544929,22665.79
Associated British Foods,GB0006731235,22562.53
BAE Systems,GB0002634946,22397.03
Aviva,GB0002162385,21149.30
Ferguson,JE00BJVNSS43,18734.12
3i,GB00B1YW4409,13947.25
International Consolidated Airlines,ES0177542018,13050.33
Ashtead,GB0000536739,12430.91
Informa,GB00BMJ6DW54,12287.30
Coca-Cola HBC,CH0198251305,11447.34
InterContinental Hotels Group,GB00BHJYC057,11107.94
Antofagasta,GB0000456144,11030.51
Hargreaves Lansdown,GB00B1VZ0M25,10947.92
Intertek,GB0031638363,10508.37
Burberry,GB0031743007,10059.59
JD Sports Fashion,GB00BYX91H57,9992.25
Halma,GB0004052071,8991.76
DCC,IE0002424939,8745.85
Barratt Developments,GB0000811801,8733.60
Bunzl,GB00B0744B38,8570.49
Aveva Group,GB00BBG9VN75,7942.29
Croda International,GB00BJFFLV09,7718.10
Admiral Group,GB00B02J6398,7633.84
EVRAZ,GB00B71N6K86,7443.68
Johnson Matthey,GB00BZ4BQC70,7405.38
British Land Company,GB0001367019,7379.04
Carnival,GB0031215220,7264.99
The Berkeley Group,GB00B02L3W35,7175.39
ITV,GB0033986497,6871.70
Auto Trader Group,GB00BVYVFW23,6380.85
Hikma Pharmaceuticals,GB00B0LCW083,6266.57
D S Smith,GB0008220112,6238.05
Fresnillo,GB00B2QPKJ12,5845.13
JUST EAT,GB00BKX5CN86,5532.45
Hiscox,BMG4593F1389,5475.25
Centrica,GB00B033F229,5360.21
RBS (Royal Bank of Scotland,GB00B7T77214,9749079.95
Standard Chartered,GB0004082847,408636.65
Shell,GB00B03MM408,233724.97
Shell (Royal Dutch Shell),GB00B03MLX29,233724.97
Prudential,GB0007099541,120120.45
Unilever,GB00B10RZP78,70722.99
Rio Tinto,GB0007188757,64733.67
Vodafone Group,GB00BH4HKS39,55905.72
Reckitt Benckiser,GB00B24CGK77,55264.50
Lloyds Banking Group,GB0008706128,54763.64
RELX,GB00B2B0DG97,44701.88
National Grid,GB00BDR05C01,40805.66
London Stock Exchange (LSE,GB00B0SWJX34,31641.19
Tesco,GB0008847096,30460.56
Legal & General,GB0005603997,21303.79
Smith & Nephew,GB0009223206,20520.03
Rolls-Royce,GB00B63H8491,18595.99
SSE,GB0007908733,17725.35
WPP 2012,JE00B8KF9B49,15050.15
Melrose Industries,GB00BZ1G4322,13075.19
Ocado Group,GB00B3MBS747,12581.77
Meggitt,GB0005758098,11864.58
Next,GB0032089863,11371.63
Segro,GB00B5ZN1N88,11335.29
Schroders,GB0002405495,10684.63
Rentokil Initial,GB00B082RF11,10615.49
Mondi,GB00B1CRLC47,10084.34
Sage,GB00B8C3BL03,9721.37
Persimmon,GB0006825383,9707.93
Land Securities Group,GB00BYW0PQ60,8971.17
Standard Life Aberdeen,GB00BF8Q6K64,8782.49
TUI,DE000TUAG000,8021.68
Smiths,GB00B1WY2338,8009.13
Smurfit Kappa,IE00B1RR8406,7854.47
United Utilities,GB00B39J2M42,7770.42
Flutter Entertainment,IE00BWT6H894,7532.79
Whitbread,GB00B1KJJ408,7333.68
NMC Health,GB00B7FC0762,7008.80
Severn Trent,GB00B1FH8J72,7000.60
Polymetal,JE00B6T5S470,6996.92
Spirax-Sarco Engineering,GB00BWFGQN14,6970.84
Pearson,GB0006776081,6902.32
Taylor Wimpey,GB0008782301,6874.09
RSA Insurance,GB00BKKMKR23,6817.87
St.Jamess Place,GB0007669376,6804.61
Phoenix Group,GB00BGXQNP29,6582.84
Rightmove,GB00BGDT3G23,6367.06
Wm Morrison Supermarkets,GB0006043169,6224.64
J. Sainsbury,GB00B019KW72,6063.44
Kingfisher,GB0033195214,5917.16
